Number of classes: 650
Epoch 1/10
Batch 0/18213 - Loss: 6.4749, Accuracy: 0.00%
Batch 100/18213 - Loss: nan, Accuracy: 0.15%
Batch 200/18213 - Loss: nan, Accuracy: 0.17%
Batch 300/18213 - Loss: nan, Accuracy: 0.16%
Batch 400/18213 - Loss: nan, Accuracy: 0.16%
Batch 500/18213 - Loss: nan, Accuracy: 0.16%
Batch 600/18213 - Loss: nan, Accuracy: 0.18%
Batch 700/18213 - Loss: nan, Accuracy: 0.16%
Batch 800/18213 - Loss: nan, Accuracy: 0.16%
Batch 900/18213 - Loss: nan, Accuracy: 0.16%
Batch 1000/18213 - Loss: nan, Accuracy: 0.16%
Batch 1100/18213 - Loss: nan, Accuracy: 0.16%
Batch 1200/18213 - Loss: nan, Accuracy: 0.16%
Batch 1300/18213 - Loss: nan, Accuracy: 0.15%
Batch 1400/18213 - Loss: nan, Accuracy: 0.15%
Batch 1500/18213 - Loss: nan, Accuracy: 0.16%
Batch 1600/18213 - Loss: nan, Accuracy: 0.15%
Batch 1700/18213 - Loss: nan, Accuracy: 0.15%
Batch 1800/18213 - Loss: nan, Accuracy: 0.15%
Batch 1900/18213 - Loss: nan, Accuracy: 0.15%
Batch 2000/18213 - Loss: nan, Accuracy: 0.15%
Batch 2100/18213 - Loss: nan, Accuracy: 0.15%
Batch 2200/18213 - Loss: nan, Accuracy: 0.15%
Batch 2300/18213 - Loss: nan, Accuracy: 0.16%
Batch 2400/18213 - Loss: nan, Accuracy: 0.16%
Batch 2500/18213 - Loss: nan, Accuracy: 0.16%
Batch 2600/18213 - Loss: nan, Accuracy: 0.16%
Batch 2700/18213 - Loss: nan, Accuracy: 0.16%
Batch 2800/18213 - Loss: nan, Accuracy: 0.16%
Batch 2900/18213 - Loss: nan, Accuracy: 0.16%
Batch 3000/18213 - Loss: nan, Accuracy: 0.16%
Batch 3100/18213 - Loss: nan, Accuracy: 0.15%
Batch 3200/18213 - Loss: nan, Accuracy: 0.15%
Batch 3300/18213 - Loss: nan, Accuracy: 0.15%
Batch 3400/18213 - Loss: nan, Accuracy: 0.15%
Batch 3500/18213 - Loss: nan, Accuracy: 0.14%
Batch 3600/18213 - Loss: nan, Accuracy: 0.14%
Batch 3700/18213 - Loss: nan, Accuracy: 0.15%
Batch 3800/18213 - Loss: nan, Accuracy: 0.15%
Batch 3900/18213 - Loss: nan, Accuracy: 0.14%
